No.,Player,Position,Height,Points,Assists,Ds,Turns,Team,Division,Year
70,Julian Hausman,,,,5,,,Sockeye,Men,2018
77,Ben Snell,,,1,5,,3,Sockeye,Men,2018
87,Chris Kosednar,,,5,4,,2,Sockeye,Men,2018
0,Mischa Freystaetter,,,7,2,3,2,Ring of Fire,Men,2018
0,Jonathan Helton,Cutter,'"6''0"""',7,7,1,4,Ring of Fire,Men,2018
0,Allan Laviolette,,,12,12,5,10,Ring of Fire,Men,2018
0,Elijah Long,,'"5''11"""',1,2,,1,Ring of Fire,Men,2018
0,Andrew McKelvey,,'"1''0"""',2,,1,1,Ring of Fire,Men,2018
0,Jacob Mouw,,,5,2,2,,Ring of Fire,Men,2018
0,Liam Searles-Bohs,,'"6''1"""',10,7,1,7,Ring of Fire,Men,2018
1,Justin Allen,Cutter,,4,8,2,5,Ring of Fire,Men,2018
2,Hunter Taylor,Cutter,'"5''11"""',,,,,Ring of Fire,Men,2018
3,Josh Mullen,Handler,,,,,,Ring of Fire,Men,2018
4,Dillon Lanier,Cutter,'"6''0"""',14,17,,9,Ring of Fire,Men,2018
5,Matt Bode,Cutter,,3,2,6,3,Ring of Fire,Men,2018
7,Jonathan Nethercutt,Handler,,14,45,1,22,Ring of Fire,Men,2018
8,Terrence Mitchell,Cutter,'"1''0"""',2,,,2,Ring of Fire,Men,2018
9,JD Hastings,Handler,'"6''6"""',5,2,1,2,Ring of Fire,Men,2018
10,Henry Fisher,Cutter,'"6''5"""',30,3,7,8,Ring of Fire,Men,2018
12,Joe Cretella,Cutter,,1,1,,4,Ring of Fire,Men,2018
13,Shane Sisco,Cutter,'"5''11"""',2,,,2,Ring of Fire,Men,2018
15,Eric Taylor,Cutter,'"6''1"""',3,8,4,4,Ring of Fire,Men,2018
20,Jacob Fairfax,Cutter,,4,1,4,1,Ring of Fire,Men,2018
21,Matt Gouchoe-Hanas,Handler,'"1''0"""',13,16,,6,Ring of Fire,Men,2018
22,Solomon Yanuck,Handler,'"5''11"""',1,9,1,3,Ring of Fire,Men,2018
24,Noah Saul,Handler,,8,12,1,13,Ring of Fire,Men,2018
28,Jack Williams,Cutter,,17,6,4,5,Ring of Fire,Men,2018
31,Bob Liu,Handler,'"5''8"""',5,7,3,5,Ring of Fire,Men,2018
45,Brett Matzuka,Handler,,,1,3,2,Ring of Fire,Men,2018
51,Timothy McAllister,Cutter,'"10''11"""',5,1,,,Ring of Fire,Men,2018
84,David Richardson,Cutter,'"6''3"""',1,2,2,1,Ring of Fire,Men,2018
99,Joshua Hartzog,Cutter,,5,1,3,4,Ring of Fire,Men,2018
0,Jarrod Banks,,,5,2,,2,Truck Stop,Men,2018
0,Andrew Roy,Handler,'"5''9"""',,,,2,Truck Stop,Men,2018
1,Max Cassell,,,2,6,2,8,Truck Stop,Men,2018
1,Nathan Prior,,,3,25,5,18,Truck Stop,Men,2018
2,Christian Boxley,,'"5''10"""',26,3,1,1,Truck Stop,Men,2018
3,Jackson Cochran,,'"5''8"""',6,13,5,5,Truck Stop,Men,2018
4,Delrico Johnson,,,5,2,7,2,Truck Stop,Men,2018
5,David Cranston,,'"6''2"""',16,4,3,1,Truck Stop,Men,2018
7,Matthew Cullom,,'"6''2"""',,,,,Truck Stop,Men,2018
10,Tyler Monroe,,'"1''0"""',19,24,4,14,Truck Stop,Men,2018
11,Joseph Richards,,'"6''3"""',3,,,,Truck Stop,Men,2018
14,Lloyd Blake,,,13,9,3,7,Truck Stop,Men,2018
15,Nathan Castine,,,9,16,2,5,Truck Stop,Men,2018
17,Eric Miner,,,27,5,1,8,Truck Stop,Men,2018
20,Samuel Brecker,,'"6''0"""',,,,,Truck Stop,Men,2018
21,Matthew Rowan McDonnell,Cutter,,11,23,2,8,Truck Stop,Men,2018
23,Alexandre Fall,,,4,1,1,1,Truck Stop,Men,2018
24,Austin Bartenstein,,,1,2,1,2,Truck Stop,Men,2018
25,Marcus Thaw,,'"6''0"""',7,5,3,3,Truck Stop,Men,2018
30,David Bloodgood,,'"6''0"""',4,15,9,9,Truck Stop,Men,2018
33,Ryan Swift,,,2,,1,3,Truck Stop,Men,2018
38,Gabe Westergren,,,,,,,Truck Stop,Men,2018
45,Jeff Wodatch,Cutter,,16,8,4,3,Truck Stop,Men,2018
47,John Walden,,'"5''7"""',3,,,,Truck Stop,Men,2018
52,Gus Norrbom,,,6,5,3,2,Truck Stop,Men,2018
63,David Shields,,'"5''9"""',1,6,,4,Truck Stop,Men,2018
70,Christopher Strub,,'"5''9"""',7,3,4,4,Truck Stop,Men,2018
87,Matt Kerrigan,,'"6''0"""',2,3,1,1,Truck Stop,Men,2018
90,Markham Shofner,,,15,32,2,21,Truck Stop,Men,2018
91,Troy Holland,,'"6''0"""',17,3,6,6,Truck Stop,Men,2018
97,Bradley Scott,,,5,6,3,4,Truck Stop,Men,2018
,David Neilson,,'"6''4"""',2,,,,Furious George,Men,2018
0,Ty Barbieri,,,20,3,3,4,Furious George,Men,2018
0,Robbie Brennan,,,5,,1,,Furious George,Men,2018
0,Malcolm Bryson,,,4,16,1,7,Furious George,Men,2018
0,Kevin Chan,,,,1,,1,Furious George,Men,2018
0,Alexander Davis,,'"6''2"""',1,1,,,Furious George,Men,2018
0,Andrew Dick,,,5,4,,5,Furious George,Men,2018
0,Andre Gailits,,,5,6,2,5,Furious George,Men,2018
0,Mathew Goodkey,,'"6''0"""',,,,,Furious George,Men,2018
0,Hugh Knapp,,,2,9,3,8,Furious George,Men,2018
0,Fred Lam,,'"6''1"""',4,,,3,Furious George,Men,2018
0,Jonah Lee-Ash,,'"6''1"""',1,,,,Furious George,Men,2018
0,Kevin Lore,,'"5''10"""',,1,,,Furious George,Men,2018
0,Ari Nitikman,,,,1,,1,Furious George,Men,2018
0,Dawson Pasin,,'"6''0"""',4,,1,,Furious George,Men,2018
0,Justin Pettenuzzo,,,,,,,Furious George,Men,2018
0,Rumi Tejpar,,'"5''10"""',2,6,1,5,Furious George,Men,2018
0,Devon Thomson,,'"5''10"""',4,4,,2,Furious George,Men,2018
0,Tim Tsang,,,11,13,,9,Furious George,Men,2018
0,Kevin Underhill,,'"6''1"""',6,13,4,6,Furious George,Men,2018
0,Brendan Wong,,,9,7,2,2,Furious George,Men,2018
3,Alistair Robb,,,,2,2,1,Furious George,Men,2018
7,Charles Eyrich,Defense (Cutter),,,,,,Furious George,Men,2018
8,Morgan Hibbert,,,5,2,1,2,Furious George,Men,2018
9,Brayden Gee,,'"5''9"""',,1,1,1,Furious George,Men,2018
24,Peter Yu,,'"5''7"""',2,2,1,1,Furious George,Men,2018
0,Jesse White,Cutter,'"6''0"""',15,9,7,5,Chicago Machine,Men,2018
5,Bradley Bolliger,Cutter,,7,2,3,3,Chicago Machine,Men,2018
7,Kurt Gibson,,'"6''2"""',19,41,5,19,Chicago Machine,Men,2018
9,Stephan Mance,Handler,'"1''0"""',2,4,,4,Chicago Machine,Men,2018
10,Von Alanguilan,Cutter,'"1''0"""',7,1,13,2,Chicago Machine,Men,2018
11,Nathan Goff,Cutter,,6,9,2,3,Chicago Machine,Men,2018
12,Kyle Rutledge,Handler,,8,,2,5,Chicago Machine,Men,2018
13,Alex Evangelides,Cutter,'"6''1"""',10,22,6,5,Chicago Machine,Men,2018
14,Jeffrey Weis,Cutter,,13,7,2,2,Chicago Machine,Men,2018
15,Andrew Sheehan,Handler,'"5''11"""',3,3,3,2,Chicago Machine,Men,2018
16,Yiding Hou,Handler,'"5''9"""',21,13,1,13,Chicago Machine,Men,2018
17,Jack Shanahan,Cutter,'"6''1"""',11,12,,5,Chicago Machine,Men,2018
18,Cullen Geppert,Cutter,'"6''1"""',5,10,2,10,Chicago Machine,Men,2018
19,Jack Shey,Cutter,'"6''1"""',4,,2,1,Chicago Machine,Men,2018
22,Alex Champe,Cutter,'"5''10"""',3,2,3,4,Chicago Machine,Men,2018
24,Michael Pardo,Cutter,'"6''3"""',24,5,4,8,Chicago Machine,Men,2018
25,Ross Barker,Cutter,'"5''11"""',16,13,3,21,Chicago Machine,Men,2018
26,Kevin Kelly,Cutter,'"6''4"""',6,5,4,2,Chicago Machine,Men,2018
28,Joseph Cari,Handler,'"5''6"""',1,4,1,3,Chicago Machine,Men,2018
31,Walden Nelson,Handler,,18,11,4,2,Chicago Machine,Men,2018
32,Sam Kanner,Handler,,4,17,3,14,Chicago Machine,Men,2018
36,Timothy Fergus,Handler,,14,16,2,18,Chicago Machine,Men,2018
37,Travis Carpenter,Cutter,'"6''0"""',19,29,3,18,Chicago Machine,Men,2018
51,Andrew (AJ) Nelson,Cutter,'"6''4"""',39,16,3,9,Chicago Machine,Men,2018
55,Pawel Janas,Handler,'"5''10"""',17,29,1,18,Chicago Machine,Men,2018
64,Neal Phelps,Handler,,4,6,3,6,Chicago Machine,Men,2018
0,Wystan Duhn,Handler,,,2,1,3,Sub Zero,Men,2018
1,Ryan Osgar,Cutter,'"6''1"""',14,36,2,14,Sub Zero,Men,2018
2,Ben Feldman,Defense (Cutter),,3,3,3,1,Sub Zero,Men,2018
3,Colin Berry,Defense (Cutter),'"6''3"""',14,8,3,7,Sub Zero,Men,2018
4,Gregory Cousins,Cutter,'"5''10"""',37,24,4,14,Sub Zero,Men,2018
5,Charles McCutcheon,Defense (Cutter),'"1''0"""',9,5,11,,Sub Zero,Men,2018
7,Zach Trosvig,Cutter,,1,1,1,,Sub Zero,Men,2018
8,Cole Wallin,Mid,'"7''8"""',12,17,3,8,Sub Zero,Men,2018
9,Jay Drescher,Mid,'"5''10"""',6,10,10,11,Sub Zero,Men,2018
6,Charles Weinberg,Cutter,'"6''0"""',17,9,3,7,Sub Zero,Men,2018
10,Tony Poletto,Handler,'"6''9"""',1,3,,1,Sub Zero,Men,2018
11,Trey Taylor,Handler,'"5''8"""',,1,,,Sub Zero,Men,2018
12,Alex Simmons,Handler,,8,17,2,9,Sub Zero,Men,2018
13,Cole Jurek,Cutter,'"5''11"""',14,9,10,9,Sub Zero,Men,2018
15,Kristian Johnson,Handler,'"5''10"""',1,10,1,6,Sub Zero,Men,2018
16,Ethan Rasmussen,,,5,,1,,Sub Zero,Men,2018
17,Logan Weiss,Defense (Cutter),'"6''0"""',12,3,2,4,Sub Zero,Men,2018
20,Thomas Echols,Handler/Cutter,,5,9,6,3,Sub Zero,Men,2018
21,Codi Wood,Handler,,13,15,2,12,Sub Zero,Men,2018
24,Nicholas Vogt,Cutter,'"6''1"""',21,2,,4,Sub Zero,Men,2018
26,Jordan Taylor,Cutter,'"6''0"""',18,4,5,4,Sub Zero,Men,2018
29,Josh Klane,Handler,'"5''9"""',17,25,4,14,Sub Zero,Men,2018
33,Connor Anderson,Defense (Cutter),,8,5,4,,Sub Zero,Men,2018
66,Jason Tschida,Handler,,12,20,4,11,Sub Zero,Men,2018
71,Nicholas Simonelli,Cutter,'"6''0"""',32,37,3,16,Sub Zero,Men,2018
99,Tristan Van De Moortele,Handler,'"5''9"""',2,5,,8,Sub Zero,Men,2018
0,'Jordan O''Neill',,,26,11,,2,HIGH FIVE,Men,2018
2,David Valentine-Elam,,'"6''4"""',7,7,1,4,HIGH FIVE,Men,2018
3,Alexander Russomanno,,,3,4,1,1,HIGH FIVE,Men,2018
4,Eric Schumacher,,'"6''1"""',11,12,,11,HIGH FIVE,Men,2018
5,Austin Engel,,,,4,1,1,HIGH FIVE,Men,2018
6,Kevin Coulter,,'"6''2"""',12,7,2,3,HIGH FIVE,Men,2018
7,John-Michael Guest,,,,,,,HIGH FIVE,Men,2018
8,Dan Donovan,,'"6''1"""',4,3,,1,HIGH FIVE,Men,2018
9,Steven Moliterno,,,6,1,1,2,HIGH FIVE,Men,2018
10,David Bentrovato,,,1,2,2,2,HIGH FIVE,Men,2018
11,Jordan Rhyne,,,20,19,3,9,HIGH FIVE,Men,2018
16,Raymond Lu,,'"5''8"""',1,1,1,1,HIGH FIVE,Men,2018
17,Keegan North,,'"6''1"""',22,40,6,10,HIGH FIVE,Men,2018
18,Ethan Yourd,,,11,1,1,1,HIGH FIVE,Men,2018
19,Paul Arters,,'"6''0"""',32,49,3,18,HIGH FIVE,Men,2018
20,Sam Greenwood,,'"6''2"""',,1,1,1,HIGH FIVE,Men,2018
