Team,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers,Division
Ring of Fire,14,Liam Searles-Bohs,Dump,"6'1""",0,2,1,1,Open
Ring of Fire,15,Eric Taylor,Cutter,"6'1""",0,0,1,0,Open
Ring of Fire,18,Elijah Long,,"5'11""",0,2,0,0,Open
Ring of Fire,20,Jacob Fairfax,Cutter,,2,1,3,0,Open
Ring of Fire,21,Matt Gouchoe-Hanas,Handler,"1'0""",6,3,0,2,Open
Ring of Fire,22,Solomon Yanuck,Handler,"5'11""",0,3,0,1,Open
Ring of Fire,24,Noah Saul,Handler,,2,5,1,4,Open
Ring of Fire,25,Bob Liu,Handler,"5'8""",1,0,1,0,Open
Ring of Fire,26,Allan Laviolette,,,6,5,3,4,Open
Ring of Fire,28,Jack Williams,Cutter,,13,6,4,4,Open
Ring of Fire,30,Andrew McKelvey,,"1'0""",0,0,0,0,Open
Ring of Fire,45,Brett Matzuka,Handler,,0,0,1,2,Open
Ring of Fire,51,Timothy McAllister,Cutter,"10'11""",5,1,0,0,Open
Ring of Fire,84,David Richardson,Cutter,"6'3""",1,2,2,1,Open
Ring of Fire,99,Joshua Hartzog,Cutter,,0,0,1,1,Open
Furious George,0,Robbie Brennan,,,5,0,1,0,Open
Furious George,3,Alistair Robb,,,0,2,2,1,Open
Furious George,4,Dawson Pasin,Handler,"6'0""",4,0,1,0,Open
Furious George,5,Ty Barbieri,,,20,3,3,4,Open
Furious George,6,Andre Gailits,,,5,6,2,5,Open
Furious George,7,Charles Eyrich,Defense (Cutter),,0,0,0,0,Open
Furious George,8,Morgan Hibbert,,,5,2,1,2,Open
Furious George,9,Brayden Gee,,"5'9""",0,1,1,1,Open
Furious George,11,Ari Nitikman,,,0,1,0,1,Open
Furious George,16,Tim Tsang,,,11,13,0,9,Open
Furious George,17,Mathew Goodkey,,"6'0""",0,0,0,0,Open
Furious George,20,Kevin Chan,,,0,1,0,1,Open
Furious George,21,Andrew Dick,,,5,4,0,5,Open
Furious George,23,Fred Lam,Defense (Cutter),"6'1""",4,0,0,3,Open
Furious George,24,Peter Yu,Handler,"5'7""",2,2,1,1,Open
Furious George,27,Alexander Davis,Defense (Cutter),"6'2""",1,1,0,0,Open
Furious George,29,Kevin Lore,,"5'10""",0,1,0,0,Open
Furious George,44,Devon Thomson,,"5'10""",4,4,0,2,Open
Furious George,45,Malcolm Bryson,,,4,16,1,7,Open
Furious George,50,Jonah Lee-Ash,Cutter,"6'1""",1,0,0,0,Open
Furious George,68,David Neilson,Defense (Cutter),"6'4""",2,0,0,0,Open
Furious George,77,Hugh Knapp,,,2,9,3,8,Open
Furious George,81,Rumi Tejpar,,"5'10""",2,6,1,5,Open
Furious George,89,Kevin Underhill,Handler,"6'1""",6,13,4,6,Open
Furious George,98,Brendan Wong,,,9,7,2,2,Open
Truck Stop,0,Jarrod Banks,,,1,1,0,1,Open
Truck Stop,1,Max Cassell,,,0,2,1,2,Open
Truck Stop,2,Christian Boxley,,"5'10""",13,0,0,1,Open
Truck Stop,3,Jackson Cochran,Mid,"5'8""",1,5,3,2,Open
Truck Stop,4,Delrico Johnson,,,3,1,1,1,Open
Truck Stop,5,David Cranston,Defense (Cutter),"6'2""",2,0,1,0,Open
Truck Stop,8,John Walden,Mid,"5'7""",3,0,0,0,Open
Truck Stop,10,Tyler Monroe,,"1'0""",12,7,2,2,Open
Truck Stop,14,Lloyd Blake,,,5,3,1,2,Open
Truck Stop,15,Nathan Castine,,,6,4,0,1,Open
Truck Stop,17,Eric Miner,,,3,1,0,5,Open
Truck Stop,21,Matthew Rowan McDonnell,Cutter,,10,23,2,8,Open
Truck Stop,22,Ryan Swift,,,2,0,1,2,Open
